data_in, valid_in, data_out, valid_out
[0], 1, [0], 0
[0], 0, [0], 1
[1], 1, [0], 1
[0], 0, [1], 1
[2], 1, [1], 1
[0], 0, [2], 1
[3], 1, [2], 1
[0], 0, [3], 1
[4], 1, [3], 1
[0], 0, [4], 1
[5], 1, [4], 1
[0], 0, [5], 1
[6], 1, [5], 1
[0], 0, [6], 1
[7], 1, [6], 1
[0], 0, [7], 1
[8], 1, [7], 1
[0], 0, [8], 1
[9], 1, [8], 1
[0], 0, [9], 1
[10], 1, [9], 1
[0], 0, [10], 1
[11], 1, [10], 1
[0], 0, [11], 1
[12], 1, [11], 1
[0], 0, [12], 1
[13], 1, [12], 1
[0], 0, [13], 1
[14], 1, [13], 1
[0], 0, [14], 1
[15], 1, [14], 1
[0], 0, [15], 1
[16], 1, [15], 1
[0], 0, [16], 1
[17], 1, [16], 1
[0], 0, [17], 1
[18], 1, [17], 1
[0], 0, [18], 1
[19], 1, [18], 1
[0], 0, [19], 1
[20], 1, [19], 1
[0], 0, [20], 1
[21], 1, [20], 1
[0], 0, [21], 1
[22], 1, [21], 1
[0], 0, [22], 1
[23], 1, [22], 1
[0], 0, [23], 1
[24], 1, [23], 1
[0], 0, [24], 1
[25], 1, [24], 1
[0], 0, [25], 1
[26], 1, [25], 1
[0], 0, [26], 1
[27], 1, [26], 1
[0], 0, [27], 1
[28], 1, [27], 1
[0], 0, [28], 1
[29], 1, [28], 1
[0], 0, [29], 1
[30], 1, [29], 1
[0], 0, [30], 1
[31], 1, [30], 1
[0], 0, [31], 1
[32], 1, [31], 1
[0], 0, [32], 1
[33], 1, [32], 1
[0], 0, [33], 1
[34], 1, [33], 1
[0], 0, [34], 1
[35], 1, [34], 1
[0], 0, [35], 1
[36], 1, [35], 1
[0], 0, [36], 1
[37], 1, [36], 1
[0], 0, [37], 1
[38], 1, [37], 1
[0], 0, [38], 1
[39], 1, [38], 1
[0], 0, [39], 1
[40], 1, [39], 1
[0], 0, [40], 1
[41], 1, [40], 1
[0], 0, [41], 1
[42], 1, [41], 1
[0], 0, [42], 1
[43], 1, [42], 1
[0], 0, [43], 1
[44], 1, [43], 1
[0], 0, [44], 1
[45], 1, [44], 1
[0], 0, [45], 1
[46], 1, [45], 1
[0], 0, [46], 1
[47], 1, [46], 1
[0], 0, [47], 1
[48], 1, [47], 1
[0], 0, [48], 1
[49], 1, [48], 1
[0], 0, [49], 1
[50], 1, [49], 1
[0], 0, [50], 1
[51], 1, [50], 1
[0], 0, [51], 1
[52], 1, [51], 1
[0], 0, [52], 1
[53], 1, [52], 1
[0], 0, [53], 1
[54], 1, [53], 1
[0], 0, [54], 1
[55], 1, [54], 1
[0], 0, [55], 1
[56], 1, [55], 1
[0], 0, [56], 1
[57], 1, [56], 1
[0], 0, [57], 1
[58], 1, [57], 1
[0], 0, [58], 1
[59], 1, [58], 1
[0], 0, [59], 1
[60], 1, [59], 1
[0], 0, [60], 1
[61], 1, [60], 1
[0], 0, [61], 1
[62], 1, [61], 1
[0], 0, [62], 1
[63], 1, [62], 1
[0], 0, [63], 1
[0], 0, [63], 1
